country,deaths,hiv_population,art_coverage
Afghanistan,500,7200,13
Albania,NA,NA,NA
Algeria,200,16000,81
Angola,14000,330000,27
Argentina,1700,140000,61
Armenia,200,3500,53
Australia,200,28000,83
Austria,NA,NA,NA
Azerbaijan,NA,NA,NA
Bahamas,200,6000,52
Bahrain,NA,NA,NA
Bangladesh,580,14000,22
Barbados,100,3000,50
Belarus,500,27000,59
Belgium,NA,NA,NA
Belize,200,4900,28
Benin,2200,73000,61
Bhutan,100,1300,37
Bolivia (Plurinational State of),670,22000,44
Bosnia and Herzegovina,100,500,67
Botswana,4800,370000,83
Brazil,15000,900000,66
Brunei Darussalam,NA,NA,NA
Bulgaria,100,3500,41
Burkina Faso,3300,96000,62
Burundi,1900,82000,80
Cabo Verde,100,2400,89
Cambodia,1300,73000,81
Cameroon,18000,540000,52
Canada,NA,NA,NA
Central African Republic,4800,110000,36
Chad,3100,120000,51
Chile,590,71000,63
China,NA,NA,NA
Colombia,NA,160000,73
Comoros,100,200,79
Congo,4000,89000,35
Costa Rica,500,15000,49
Croatia,100,1600,75
Cuba,500,31000,72
Cyprus,NA,NA,NA
Czechia,100,4400,60
Côte d'Ivoire,16000,460000,55
Democratic People's Republic of Korea,NA,NA,NA
Democratic Republic of the Congo,13000,450000,57
Denmark,100,6200,89
Djibouti,500,8800,30
Dominican Republic,1200,70000,56
Ecuador,620,44000,57
Egypt,500,22000,31
El Salvador,700,25000,47
Equatorial Guinea,1800,62000,34
Eritrea,500,18000,51
Estonia,100,7400,59
Eswatini,2400,210000,86
Ethiopia,11000,690000,65
Fiji,NA,NA,NA
Finland,100,4000,76
France,500,180000,83
Gabon,1200,53000,67
Gambia,980,26000,29
Georgia,500,9400,49
Germany,500,87000,80
Ghana,14000,330000,34
Greece,NA,NA,NA
Guatemala,2200,47000,43
Guinea,4300,120000,40
Guinea-Bissau,1800,44000,33
Guyana,200,8200,68
Haiti,2700,160000,58
Honduras,780,23000,50
Hungary,100,3700,56
Iceland,100,500,79
India,NA,NA,NA
Indonesia,38000,640000,17
Iran (Islamic Republic of),2600,61000,20
Ireland,100,7200,80
Israel,100,9000,NA
Italy,710,130000,91
Jamaica,1500,40000,31
Japan,NA,30000,80
Jordan,100,500,84
Kazakhstan,500,26000,58
Kenya,25000,1600000,68
Kuwait,100,640,62
Kyrgyzstan,200,8500,43
Lao People's Democratic Republic,500,12000,54
Latvia,100,5300,45
Lebanon,100,2500,60
Lesotho,6100,340000,61
Liberia,1800,39000,35
Libya,200,9200,44
Lithuania,NA,NA,NA
Luxembourg,100,1200,77
Madagascar,1700,39000,9
Malawi,13000,1000000,78
Malaysia,2600,87000,48
Maldives,NA,NA,NA
Mali,6500,150000,31
Malta,NA,NA,NA
Mauritania,500,5600,54
Mauritius,610,13000,22
Mexico,NA,230000,70
Mongolia,100,600,32
Montenegro,100,500,40
Morocco,500,21000,65
Mozambique,54000,2200000,56
Myanmar,7800,240000,70
Namibia,2700,200000,92
Nepal,910,30000,56
Netherlands,NA,NA,NA
New Zealand,100,3600,73
Nicaragua,200,9400,53
Niger,1200,36000,54
Nigeria,53000,1900000,53
Norway,100,5800,82
Oman,100,3200,41
Pakistan,6400,160000,10
Panama,500,26000,54
Papua New Guinea,NA,45000,65
Paraguay,720,21000,40
Peru,1000,79000,73
Philippines,1200,77000,44
Poland,NA,NA,NA
Portugal,500,41000,90
Qatar,NA,NA,NA
Republic of Korea,NA,NA,NA
Republic of Moldova,570,17000,34
Republic of North Macedonia,100,500,54
Romania,200,18000,67
Russian Federation,NA,NA,NA
Rwanda,2900,220000,87
Saudi Arabia,NA,NA,NA
Senegal,1300,42000,63
Serbia,100,3000,65
Sierra Leone,2100,70000,41
Singapore,100,7900,78
Slovakia,100,1200,54
Slovenia,100,NA,NA
Somalia,710,11000,30
South Africa,71000,7700000,62
South Sudan,9900,190000,16
Spain,NA,150000,84
Sri Lanka,200,3500,45
Sudan,2900,59000,15
Suriname,100,5600,52
Sweden,NA,NA,NA
Switzerland,NA,NA,NA
Syrian Arab Republic,100,660,20
Tajikistan,500,13000,46
Thailand,18000,480000,75
Timor-Leste,NA,NA,NA
Togo,3800,110000,60
Trinidad and Tobago,NA,NA,NA
Tunisia,100,2800,39
Turkey,NA,NA,NA
Turkmenistan,NA,NA,NA
Uganda,23000,1400000,72
Ukraine,6100,240000,52
United Arab Emirates,NA,NA,NA
United Kingdom of Great Britain and Northern Ireland,NA,NA,NA
United Republic of Tanzania,24000,1600000,71
United States of America,NA,NA,NA
Uruguay,200,14000,58
Uzbekistan,1300,52000,51
Venezuela (Bolivarian Republic of),NA,120000,NA
Viet Nam,4700,230000,65
Yemen,500,11000,21
Zambia,17000,1200000,78
Zimbabwe,22000,1300000,88
